Year,CountryID,CountryName,CityID,CityName,OrderCount
2013,230,United States,3876,Branson West,38
2013,230,United States,33591,Tamora,32
2013,230,United States,30342,San Acacia,37
2013,230,United States,25078,Oakpark,33
2013,230,United States,18340,Lake Davis,30
2013,230,United States,3707,Bowlus,36
2013,230,United States,2379,Beekmantown,24
2013,230,United States,24583,North Crows Nest,50
2013,230,United States,31075,Sentinel Butte,39
2013,230,United States,34633,Tuscaloosa,42
2013,230,United States,6206,Cherokee,13
2013,230,United States,3893,Bratenahl,29
2013,230,United States,35861,Ware Shoals,29
2013,230,United States,16239,Huntingburg,31
2013,230,United States,34192,Tolna,41
2013,230,United States,21351,Mayhill,28
2013,230,United States,14072,Griswoldville,25
2013,230,United States,25479,Oologah,36
2013,230,United States,35712,Wallagrass,29
2013,230,United States,4291,Brown City,25
2013,230,United States,1775,Bakers Mill,41
2013,230,United States,13136,Glen Park,32
2013,230,United States,20710,Manchester Center,38
2013,230,United States,8227,Cundiyo,27
2013,230,United States,6687,Claycomo,21
2013,230,United States,9701,Eagle Valley,31
2013,230,United States,10199,El Centro,39
2013,230,United States,35503,Vollmar,32
2013,230,United States,30926,Seagraves,33
2013,230,United States,25639,Orpha,34
2013,230,United States,28221,Rail Road Flat,34
2013,230,United States,9386,Drakesboro,31
2013,230,United States,30906,Sea Island,44
2013,230,United States,20043,Lost River,34
2013,230,United States,29887,Ruthsburg,31
2013,230,United States,17730,Kinder,27
2013,230,United States,232,Airport Drive,43
2013,230,United States,23687,Navassa,36
2013,230,United States,21002,Marion Junction,31
2013,230,United States,13800,Great Neck Estates,35
2013,230,United States,17587,Keosauqua,26
2013,230,United States,16090,Howells,24
2013,230,United States,7408,Conewango,21
2013,230,United States,21022,Markville,34
2013,230,United States,13242,Glenwillow,26
2013,230,United States,13388,Goodings Grove,27
2013,230,United States,25121,Obetz,32
2013,230,United States,21191,Mashulaville,31
2013,230,United States,23229,Mount Montgomery,32
2013,230,United States,32575,Stanardsville,32
2013,230,United States,18337,Lake Crystal,35
2013,230,United States,23870,New Braintree,40
2013,230,United States,18460,Lake Stevens,35
2013,230,United States,1380,Astor Park,37
2013,230,United States,23707,Necedah,24
2013,230,United States,3501,Bombay Beach,38
2013,230,United States,25971,Palatine Bridge,36
2013,230,United States,34530,Tschetter Colony,36
2013,230,United States,16382,Idaho City,33
2013,230,United States,27577,Port Hueneme,28
2013,230,United States,10388,Elkatawa,35
2013,230,United States,28032,Puerto de Luna,23
2013,230,United States,5645,Catesby,35
2013,230,United States,30119,Saint Landry,37
2013,230,United States,14965,Haycock,34
2013,230,United States,1417,Athol Springs,26
2013,230,United States,30803,Schoharie,28
2013,230,United States,22814,Montoya,36
2013,230,United States,22147,Miesville,32
2013,230,United States,31321,Shell,30
2013,230,United States,2230,Beals,21
2013,230,United States,11427,Federalsburg,41
2013,230,United States,28367,Raven,26
2013,230,United States,2436,Bell Acres,27
2013,230,United States,35008,Valhalla,29
2013,230,United States,2791,Bernstein,28
2013,230,United States,8493,Darling,26
2013,230,United States,5247,Capa,34
2013,230,United States,38042,Yewed,32
2013,230,United States,32887,Stonefort,37
2013,230,United States,962,Antonito,25
2013,230,United States,20189,Lucasville,30
2013,230,United States,18772,Larose,28
2013,230,United States,31009,Seiling,29
2013,230,United States,5682,Cave Junction,29
2013,230,United States,9077,Dickworsham,26
2013,230,United States,31006,Segundo,25
2013,230,United States,19908,Long Meadow,22
2013,230,United States,21282,Mauldin,39
2013,230,United States,24700,North Ridge,28
2013,230,United States,35082,Van Alstyne,32
2013,230,United States,12483,Furley,37
2013,230,United States,1245,Arrowbear Lake,43
2013,230,United States,5304,Carbonville,24
2013,230,United States,7050,Coffeyville,21
2013,230,United States,20518,Madison Park,25
2013,230,United States,30751,Sayner,35
2013,230,United States,9549,Dunkerton,36
2013,230,United States,28129,Queen Valley,38
2013,230,United States,22430,Mineral Hills,26
2013,230,United States,24007,New Laguna,32
2013,230,United States,15646,Hodgdon,30
2013,230,United States,13333,Golden Meadow,43
2013,230,United States,890,Annamoriah,34
2013,230,United States,20535,Madrone,30
2013,230,United States,30734,Saxapahaw,10
2013,230,United States,26300,Pastura,29
2013,230,United States,5407,Caro,31
2013,230,United States,17999,Koontzville,32
2013,230,United States,10193,Ekron,30
2013,230,United States,25424,Omer,34
2013,230,United States,6904,Cloquet,31
2013,230,United States,30216,Saks,32
2013,230,United States,3409,Boalsburg,33
2013,230,United States,7594,Corfu,31
2013,230,United States,14043,Grider,32
2013,230,United States,34060,Tilleda,32
2013,230,United States,18514,Lakemore,31
2013,230,United States,21431,McCamey,32
2013,230,United States,31249,Shawboro,39
2013,230,United States,16891,Jamison,35
2013,230,United States,12563,Gallipolis Ferry,9
2013,230,United States,26778,Phelps City,26
2013,230,United States,8839,Delray,21
2013,230,United States,2782,Bernardston,40
2013,230,United States,33227,Sun River,21
2013,230,United States,25653,Ortley Beach,26
2013,230,United States,27236,Plata,34
2013,230,United States,2739,Bergen Park,31
2013,230,United States,29938,Sabinsville,32
2013,230,United States,20475,Madaket,24
2013,230,United States,4491,Buell,35
2013,230,United States,9237,Donner,26
2013,230,United States,2971,Big Moose,43
2013,230,United States,20575,Mahaffey,36
2013,230,United States,19124,Lemeta,27
2013,230,United States,31936,Soham,20
2013,230,United States,9360,Downingtown,22
2013,230,United States,20412,Lytle,29
2013,230,United States,11753,Flowella,29
2013,230,United States,9884,East Portal,31
2013,230,United States,15835,Homer City,40
2013,230,United States,7485,Cookietown,23
2013,230,United States,36499,West Elkton,38
2013,230,United States,34584,Tunnelhill,37
2013,230,United States,15102,Hedrick,43
2013,230,United States,7525,Coosa,33
